"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"Southwestern College","0.9215","21","959","0.4626436782","0.367816092","27250","27250","www.sckans.edu","Plains","KS","Winfield","Town","Private nonprofit","Graduate degree","Rank over 230",1.43,"54000","47500","61500","0.812",16
"Southwestern College","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.swc.edu","Southwest","NM","Santa Fe","City","Private nonprofit","Graduate degree","Rank over 230",1.43,"54000","47500","61500","0.812",16
"Southwestern College","NULL","NULL","NULL","0.5640940709","0.106492216","1336","5956","www.swccd.edu","Far West","CA","Chula Vista","Suburb","Public","Associate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",16
"Southwestern College","0.9215","21","959","0.4626436782","0.367816092","27250","27250","www.sckans.edu","Plains","KS","Winfield","Town","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",16
"Southwestern College","NULL","NULL","NULL","0.5640940709","0.106492216","1336","5956","www.swccd.edu","Far West","CA","Chula Vista","Suburb","Public","Associate degree","Rank over 230",1.43,"54000","47500","61500","0.812",16
"Southwestern College","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.swc.edu","Southwest","NM","Santa Fe","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",16
"Southwestern College","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.swc.edu","Southwest","NM","Santa Fe","City","Private nonprofit","Graduate degree","Rank over 230",2.62,"34700","30800","40200","0.596",16
"Southwestern College","0.9215","21","959","0.4626436782","0.367816092","27250","27250","www.sckans.edu","Plains","KS","Winfield","Town","Private nonprofit","Graduate degree","Rank over 230",2.62,"34700","30800","40200","0.596",16
"Southwestern Community College","NULL","NULL","NULL","0.625498008","0.187250996","2213","7589","www.southwesterncc.edu","Southeast","NC","Sylva","Town","Public","Associate degree","Rank over 230",2.42,"27800","26800","30800","0.493",4
"Southwestern Community College","NULL","NULL","NULL","0.5455696203","0.1113924051","5490","5700","www.swcciowa.edu","Plains","IA","Creston","Town","Public","Associate degree","Rank over 230",1.18,"34100","32000","37500","0.626",4
"Southwestern Community College","NULL","NULL","NULL","0.625498008","0.187250996","2213","7589","www.southwesterncc.edu","Southeast","NC","Sylva","Town","Public","Associate degree","Rank over 230",1.18,"34100","32000","37500","0.626",4
"Southwestern Community College","NULL","NULL","NULL","0.5455696203","0.1113924051","5490","5700","www.swcciowa.edu","Plains","IA","Creston","Town","Public","Associate degree","Rank over 230",2.42,"27800","26800","30800","0.493",4
"Southwestern Illinois College","NULL","NULL","NULL","0.5600942655","0.1222833202","3420","15750","https://www.swic.edu","Great Lakes","IL","Belleville","Suburb","Public","Associate degree","Rank over 230",2.39,"30700","28000","36600","0.53",8
"Southwestern Indian Polytechnic Institute","NULL","NULL","NULL","0.5198237885","PrivacySuppressed","1095","1095","www.sipi.edu","Southwest","NM","Albuquerque","Suburb","Public","Associate degree","Rank over 230",5.32,"25000","23100","27400","0.357",2
"Southwestern Law School","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.swlaw.edu","Far West","CA","Los Angeles","City","Private nonprofit","Graduate degree","Rank over 230",1.94,"103500","96100","114400","0.862",0
"Southwestern Michigan College","NULL","NULL","NULL","0.5858505564","0.0635930048","4891","6353","www.swmich.edu","Great Lakes","MI","Dowagiac","Rural","Public","Associate degree","Rank over 230",1.96,"32200","27400","41800","0.53",6
"Southwestern Oklahoma State University","0.9083","21","990","0.6013289037","0.1305173232","6690","13440","www.swosu.edu","Southwest","OK","Weatherford","Town","Public","Graduate degree","Rank over 230",1.18,"48200","40100","57300","0.729",2
"Southwestern Oregon Community College","NULL","NULL","NULL","0.5799256506","0.1078066914","5847","5847","www.socc.edu","Far West","OR","Coos Bay","Town","Public","Associate degree","Rank over 230",2.76,"36200","31200","41600","0.577",8
"Southwestern University","0.4503","26","1165","0.5737051793","0.0239043825","39060","39060","www.southwestern.edu","Southwest","TX","Georgetown","Suburb","Private nonprofit","Bachelor's degree","Rank over 230",1.07,"63400","58600","70200","0.841",11
"SOWELA Technical Community College","NULL","NULL","NULL","0.5797373358","0.1238273921","4185","7612","www.sowela.edu","Southeast","LA","Lake Charles","City","Public","Associate degree","Rank over 230",2.32,"44000","32000","56900","PrivacySuppressed",0
"Spa Tech Institute-Ipswich","NULL","NULL","NULL","0.9116809117","0.1809116809","NULL","NULL","www.spatech.edu","New England","MA","Ipswich","Suburb","Private for profit","Certificate degree","Rank over 230",0.85,"27800","PrivacySuppressed","PrivacySuppressed","0.447",0
"Spa Tech Institute-Plymouth","NULL","NULL","NULL","0.9116809117","0.1809116809","NULL","NULL","www.spatech.edu","New England","MA","Plymouth","Suburb","Private for profit","Certificate degree","Rank over 230",0.85,"27800","PrivacySuppressed","PrivacySuppressed","0.447",0
"Spa Tech Institute-Westboro","NULL","NULL","NULL","0.9116809117","0.1809116809","NULL","NULL","www.spatech.edu","New England","MA","Westboro","Suburb","Private for profit","Certificate degree","Rank over 230",0.85,"27800","PrivacySuppressed","PrivacySuppressed","0.447",0
"Spa Tech Institute-Westbrook","NULL","NULL","NULL","0.9116809117","0.1809116809","NULL","NULL","SpaTech.edu","New England","ME","Westbrook","Suburb","Private for profit","Certificate degree","Rank over 230",0.85,"27800","PrivacySuppressed","PrivacySuppressed","0.447",0
"Spalding University","0.503","21","972","0.7409638554","0.0978915663","24388","24388","https://www.spalding.edu","Southeast","KY","Louisville","City","Private nonprofit","Graduate degree","Rank over 230",1.51,"48300","46800","55600","0.77",2
"Spanish-American Institute","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.sai.nyc","Mid East","NY","New York","City","Private nonprofit","Non-degree-granting","Rank over 230",3.83,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.377",NA
"Spartan College of Aeronautics & Technology","NULL","NULL","NULL","0.0555555556","0.1696696697","NULL","NULL","www.spartan.edu","Far West","CA","Inglewood","Suburb","Private for profit","Certificate degree","Rank over 230",3.26,"50700","31600","52100","0.752",0
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0586510264","0.2434017595","31905","31905","www.spartan.edu","Rocky Mountains","CO","Westminster","Suburb","Private for profit","Associate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0586510264","0.2434017595","15743","15743","www.spartan.edu","Rocky Mountains","CO","Broomfield","City","Private for profit","Associate degree","Rank over 230",1.54,"51800","PrivacySuppressed","PrivacySuppressed","0.754",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0555555556","0.1696696697","NULL","NULL","www.spartan.edu","Far West","CA","Riverside","Suburb","Private for profit","Non-degree-granting","Rank over 230",5.58,"NULL","NULL","NULL","NULL",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.1243523316","0.1269430052","16395","16395","www.spartan.edu","Southwest","OK","Tulsa","City","Private for profit","Bachelor's degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0586510264","0.2434017595","31905","31905","www.spartan.edu","Rocky Mountains","CO","Westminster","Suburb","Private for profit","Associate degree","Rank over 230",1.74,"51300","34700","52600","0.746",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0586510264","0.2434017595","15743","15743","www.spartan.edu","Rocky Mountains","CO","Broomfield","City","Private for profit","Associate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.1243523316","0.1269430052","16395","16395","www.spartan.edu","Southwest","OK","Tulsa","City","Private for profit","Bachelor's degree","Rank over 230",1.74,"51300","34700","52600","0.746",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0586510264","0.2434017595","31905","31905","www.spartan.edu","Rocky Mountains","CO","Westminster","Suburb","Private for profit","Associate degree","Rank over 230",1.54,"51800","PrivacySuppressed","PrivacySuppressed","0.754",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0555555556","0.1696696697","NULL","NULL","www.spartan.edu","Far West","CA","Riverside","Suburb","Private for profit","Non-degree-granting","Rank over 230",1.74,"51300","34700","52600","0.746",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.1243523316","0.1269430052","16395","16395","www.spartan.edu","Southwest","OK","Tulsa","City","Private for profit","Bachelor's degree","Rank over 230",1.54,"51800","PrivacySuppressed","PrivacySuppressed","0.754",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0555555556","0.1696696697","NULL","NULL","www.spartan.edu","Far West","CA","Riverside","Suburb","Private for profit","Non-degree-granting","Rank over 230",1.54,"51800","PrivacySuppressed","PrivacySuppressed","0.754",4
"Spartan College of Aeronautics and Technology","NULL","NULL","NULL","0.0586510264","0.2434017595","15743","15743","www.spartan.edu","Rocky Mountains","CO","Broomfield","City","Private for profit","Associate degree","Rank over 230",1.74,"51300","34700","52600","0.746",4
"Spartanburg Community College","NULL","NULL","NULL","0.5896620278","0.1339960239","4300","8692","www.sccsc.edu","Southeast","SC","Spartanburg","Suburb","Public","Associate degree","Rank over 230",1.81,"31700","27600","40200","0.542",0
"Spartanburg Methodist College","0.6519","18","865","0.4863523573","PrivacySuppressed","16700","16700","https://www.smcsc.edu/","Southeast","SC","Spartanburg","Suburb","Private nonprofit","Associate degree","Rank over 230",1.61,"35000","28300","39800","0.642",6
"Specs Howard School of Media Arts","NULL","NULL","NULL","0.3898531375","0.0720961282","NULL","NULL","www.specshoward.edu","Great Lakes","MI","Southfield","City","Private for profit","Certificate degree","Rank over 230",2.37,"32100","29300","33600","0.561",1
"Spelman College","0.3573","24","1092","PrivacySuppressed","PrivacySuppressed","27314","27314","www.spelman.edu","Southeast","GA","Atlanta","City","Private nonprofit","Bachelor's degree","Rank over 230",2.74,"50700","PrivacySuppressed","PrivacySuppressed","0.803",8
"Spencerian College-Lexington","NULL","NULL","NULL","0.8565965583","0.2141491396","19590","19590","spencerian.edu","Southeast","KY","Lexington","City","Private for profit","Associate degree","Rank over 230",1.42,"32700","31400","36500","0.632",0
"Spencerian College-Louisville","NULL","NULL","NULL","0.8565965583","0.2141491396","20400","20400","www.spencerian.edu","Southeast","KY","Louisville","Suburb","Private for profit","Bachelor's degree","Rank over 230",1.42,"32700","31400","36500","0.632",2
"Spertus College","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.spertus.edu","Great Lakes","IL","Chicago","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Spokane Community College","NULL","NULL","NULL","0.5628415301","0.2218579235","3393","8738","www.scc.spokane.edu","Far West","WA","Spokane","City","Public","Associate degree","Rank over 230",3.43,"37200","32800","42700","0.62",4
"Spokane Falls Community College","NULL","NULL","NULL","0.5684762492","0.1465144972","3393","8738","www.spokanefalls.edu","Far West","WA","Spokane","City","Public","Associate degree","Rank over 230",3.7,"34900","30600","40400","0.589",20
"Spoon River College","NULL","NULL","NULL","0.596107056","0.0912408759","4500","10470","www.src.edu","Great Lakes","IL","Canton","Rural","Public","Associate degree","Rank over 230",2.88,"32700","28500","38700","0.553",0
"Spring Arbor University","0.7147","22","1029","0.6715542522","0.2306940371","26730","26730","www.arbor.edu","Great Lakes","MI","Spring Arbor","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.68,"45000","41700","52100","0.722",1
"Spring Hill College","0.4353","25","1121","0.6452599388","PrivacySuppressed","35794","35794","www.shc.edu","Southeast","AL","Mobile","City","Private nonprofit","Graduate degree","Rank over 230",1.73,"51300","45800","62600","0.763",6
"Springfield College","0.659","26","1045","0.5983240223","0.1067039106","35475","35475","www.springfield.edu/","New England","MA","Springfield","City","Private nonprofit","Graduate degree","Rank over 230",1.96,"48500","45700","53300","0.796",18
"Springfield College of Beauty","NULL","NULL","NULL","PrivacySuppressed","0.2051282051","NULL","NULL","springfieldcollegeofbeauty.com/index.html","Far West","OR","Springfield","Suburb","Private for profit","Certificate degree","Rank over 230",2.63,"19400","PrivacySuppressed","PrivacySuppressed","0.221",NA
"Springfield College-School of Professional and Continuing Studies","NULL","NULL","NULL","0.5983240223","0.1067039106","NULL","NULL","www.springfield.edu/school-of-professional-and-continuing-studies","New England","MA","Springfield","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"48500","45700","53300","0.796",NA
"Springfield Technical Community College","NULL","NULL","NULL","0.5849862679","0.1019224901","5736","12246","www.stcc.edu","New England","MA","Springfield","City","Public","Associate degree","Rank over 230",2.23,"36500","34000","40500","0.6",3
"St Bernard's School of Theology and Ministry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.stbernards.edu","Mid East","NY","Rochester","Suburb","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"St Bonaventure University","0.659","24","1061","0.5218658892","PrivacySuppressed","32331","32331","www.sbu.edu","Mid East","NY","Saint Bonaventure","Town","Private nonprofit","Graduate degree","Rank over 230",1.65,"52700","48300","57300","0.824",14
"St Catherine University","0.9083","22","1032","0.9511031604","0.1586165772","36820","36820","https://www.stkate.edu","Plains","MN","Saint Paul","City","Private nonprofit","Graduate degree","Rank over 230",1.01,"51100","50700","61100","0.813",7
